year,month,day_of_week,hour_of_day,province,district,road_type,road_condition,weather_condition,lighting_condition,vehicle_type,vehicles_involved,accident_cause,is_rush_hour,is_weekend,is_night,is_foggy_month,num_injured,num_killed,severity
2022,11,Sunday,22,Punjab,Lahore,Urban Road,Under Repair,Rainy,No Light,Motorcycle,1,Wrong Overtaking,0,1,1,1,6,0,High
2023,5,Saturday,10,Sindh,Mirpur Khas,Urban Road,Good,Clear,Dawn/Dusk,Rickshaw,2,Signal Violation,0,1,0,0,0,0,Low
2023,12,Sunday,18,Punjab,Multan,National Highway,Good,Rainy,Daylight,Motorcycle,1,Pedestrian Error,1,1,0,1,3,0,Medium
2020,4,Thursday,12,Balochistan,Khuzdar,National Highway,Average,Clear,Daylight,Motorcycle,2,Pedestrian Error,1,0,0,0,4,3,High
2022,1,Sunday,22,Punjab,Sargodha,Rural Road,Average,Extreme Heat,No Light,Rickshaw,3,Over Speeding,0,1,1,1,2,0,Low
2020,1,Monday,5,KPK,Bannu,Provincial Highway,Good,Clear,Daylight,Motorcycle,1,Weather Condition,0,0,1,1,3,1,Medium
2020,6,Friday,21,Punjab,Multan,National Highway,Average,Clear,Street Light,Motorcycle,2,Over Speeding,0,0,0,0,5,1,High
2018,2,Tuesday,13,Sindh,Nawabshah,Motorway,Poor,Clear,Daylight,Motorcycle,3,Driver Fatigue,1,0,0,1,11,2,High
2019,1,Tuesday,21,Sindh,Karachi,Urban Road,Average,Clear,No Light,Motorcycle,1,Pedestrian Error,0,0,0,1,0,0,Low
2021,5,Saturday,10,Punjab,Lahore,Rural Road,Good,Rainy,Daylight,Rickshaw,2,Signal Violation,0,1,0,0,3,0,Medium
2020,10,Wednesday,20,Islamabad,Islamabad,Rural Road,Good,Rainy,Street Light,Motorcycle,3,Pedestrian Error,1,0,0,0,2,0,Low
2018,12,Thursday,16,KPK,Abbottabad,Urban Road,Poor,Clear,Daylight,Motorcycle,2,Road Condition,0,0,0,1,2,0,Low
2023,2,Monday,6,Islamabad,Islamabad,Provincial Highway,Good,Dusty/Smoggy,No Light,Motorcycle,2,Over Speeding,0,0,0,1,9,1,High
2020,1,Tuesday,7,Balochistan,Hub,National Highway,Average,Foggy,Daylight,Motorcycle,2,Wrong Overtaking,1,0,0,1,8,3,High
2022,9,Friday,6,Sindh,Nawabshah,National Highway,Poor,Rainy,Street Light,Car/Taxi,2,Over Speeding,0,0,0,0,3,1,Medium
2019,3,Friday,8,Islamabad,Islamabad,Provincial Highway,Poor,Clear,Daylight,Car/Taxi,1,Pedestrian Error,1,0,0,0,0,0,Low
2021,1,Friday,6,Punjab,Sheikhupura,National Highway,Under Repair,Dusty/Smoggy,Dawn/Dusk,Motorcycle,3,Signal Violation,0,0,0,1,5,0,Medium
2023,7,Saturday,14,Punjab,Sheikhupura,Rural Road,Poor,Foggy,Daylight,Motorcycle,3,Over Speeding,0,1,0,0,9,2,High
2022,1,Tuesday,15,Punjab,Rahim Yar Khan,Urban Road,Good,Foggy,Daylight,Motorcycle,1,Driver Fatigue,0,0,0,1,5,0,Medium
2023,8,Wednesday,13,Punjab,Lahore,Rural Road,Good,Rainy,Daylight,Rickshaw,2,Drunk Driving,1,0,0,0,3,0,Medium
2020,1,Thursday,19,Punjab,Faisalabad,Urban Road,Poor,Foggy,Dawn/Dusk,Motorcycle,1,Wrong Overtaking,1,0,0,1,1,0,Medium
2023,12,Monday,23,Punjab,Bahawalpur,Motorway,Poor,Clear,No Light,Other,1,Mechanical Failure,0,0,1,1,3,1,Medium
2019,5,Thursday,15,KPK,Kohat,National Highway,Good,Rainy,Daylight,Bicycle,2,Wrong Overtaking,0,0,0,0,5,0,High
2019,9,Sunday,14,Punjab,Rawalpindi,Provincial Highway,Good,Clear,Dawn/Dusk,Car/Taxi,1,Over Speeding,0,1,0,0,5,0,Medium
2020,3,Wednesday,23,Punjab,Sheikhupura,Provincial Highway,Poor,Rainy,Street Light,Motorcycle,2,Mechanical Failure,0,0,1,0,7,1,High
2018,10,Wednesday,12,Sindh,Hyderabad,National Highway,Average,Clear,No Light,Car/Taxi,2,Over Speeding,1,0,0,0,3,2,Medium
2020,12,Wednesday,19,Punjab,Sargodha,Rural Road,Good,Clear,Dawn/Dusk,Bus/Coach,2,Pedestrian Error,1,0,0,1,0,0,Low
2022,9,Friday,19,KPK,Dera Ismail Khan,Provincial Highway,Average,Clear,Dawn/Dusk,Car/Taxi,1,Over Speeding,1,0,0,0,3,0,Medium
2021,2,Saturday,7,Punjab,Bahawalpur,Provincial Highway,Poor,Clear,No Light,Bus/Coach,2,Drunk Driving,1,1,0,1,4,1,High
2023,8,Saturday,19,AJK,Mirpur,Provincial Highway,Under Repair,Clear,No Light,Motorcycle,2,Wrong Overtaking,1,1,0,0,2,1,High
2023,9,Wednesday,17,KPK,Peshawar,Rural Road,Poor,Clear,Daylight,Motorcycle,2,Wrong Overtaking,1,0,0,0,2,0,Low
2020,12,Friday,22,Punjab,Rawalpindi,National Highway,Average,Clear,No Light,Car/Taxi,1,Wrong Overtaking,0,0,1,1,4,0,Medium
2018,5,Saturday,8,Punjab,Bahawalpur,Provincial Highway,Average,Clear,Street Light,Motorcycle,2,Over Speeding,1,1,0,0,9,2,High
2021,12,Sunday,7,KPK,Swat,Rural Road,Good,Foggy,Daylight,Bus/Coach,2,Signal Violation,1,1,0,1,1,0,Medium
2020,12,Friday,20,KPK,Kohat,Provincial Highway,Good,Foggy,Street Light,Motorcycle,1,Signal Violation,1,0,0,1,10,2,High
2019,4,Wednesday,16,KPK,Bannu,Motorway,Poor,Rainy,Daylight,Rickshaw,1,Pedestrian Error,0,0,0,0,4,1,Medium
2022,7,Saturday,14,KPK,Swat,Provincial Highway,Good,Foggy,Daylight,Truck/Lorry,2,Pedestrian Error,0,1,0,0,1,0,Medium
2018,1,Saturday,18,Punjab,Sheikhupura,Provincial Highway,Average,Clear,Daylight,Motorcycle,1,Over Speeding,1,1,0,1,6,1,High
2020,4,Saturday,8,Punjab,Sialkot,Urban Road,Good,Clear,Daylight,Motorcycle,2,Over Speeding,1,1,0,0,2,1,Medium
2019,1,Saturday,22,Punjab,Sargodha,Rural Road,Average,Extreme Heat,No Light,Motorcycle,3,Driver Fatigue,0,1,1,1,10,2,High
2023,7,Saturday,18,Balochistan,Chaman,Urban Road,Good,Foggy,Daylight,Motorcycle,1,Over Speeding,1,1,0,0,3,0,Medium
2022,3,Saturday,21,Sindh,Kashmore,Urban Road,Poor,Clear,Street Light,Motorcycle,1,Signal Violation,0,1,0,0,5,0,Medium
2021,12,Thursday,18,Punjab,Rahim Yar Khan,Motorway,Average,Clear,Street Light,Motorcycle,1,Over Speeding,1,0,0,1,10,3,High
2021,12,Saturday,22,Punjab,Lahore,Rural Road,Good,Clear,Street Light,Van/Pickup,3,Over Speeding,0,1,1,1,2,0,Low
2021,12,Tuesday,17,Punjab,Sheikhupura,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Pedestrian Error,1,0,0,1,1,0,Low
2021,1,Tuesday,17,Punjab,Faisalabad,Urban Road,Under Repair,Extreme Heat,Daylight,Bus/Coach,3,Over Speeding,1,0,0,1,1,1,Low
2021,5,Wednesday,9,KPK,Abbottabad,Rural Road,Average,Clear,Daylight,Van/Pickup,1,Over Speeding,1,0,0,0,2,0,Low
2020,8,Saturday,10,Sindh,Karachi,National Highway,Good,Clear,No Light,Motorcycle,1,Road Condition,0,1,0,0,4,2,High
2019,9,Tuesday,12,Balochistan,Dera Bugti,Provincial Highway,Good,Clear,Daylight,Car/Taxi,4,Signal Violation,1,0,0,0,2,0,Low
2023,8,Thursday,11,Sindh,Sukkur,Urban Road,Good,Foggy,Daylight,Motorcycle,2,Over Speeding,0,0,0,0,5,0,High
2019,1,Tuesday,13,Punjab,Faisalabad,Provincial Highway,Average,Clear,Daylight,Car/Taxi,3,Wrong Overtaking,1,0,0,1,1,1,Low
2023,10,Wednesday,10,KPK,Nowshera,National Highway,Poor,Clear,Daylight,Motorcycle,1,Drunk Driving,0,0,0,0,8,2,High
2023,3,Saturday,14,KPK,Nowshera,Rural Road,Good,Dusty/Smoggy,Daylight,Bicycle,1,Signal Violation,0,1,0,0,2,1,Medium
2021,12,Thursday,11,Sindh,Nawabshah,Provincial Highway,Good,Dusty/Smoggy,Street Light,Car/Taxi,1,Drunk Driving,0,0,0,1,1,0,Low
2023,12,Saturday,7,KPK,Dera Ismail Khan,Urban Road,Good,Clear,Dawn/Dusk,Van/Pickup,3,Mechanical Failure,1,1,0,1,0,0,Low
2021,5,Friday,11,Sindh,Larkana,Urban Road,Average,Foggy,Daylight,Car/Taxi,4,Wrong Overtaking,0,0,0,0,5,1,Medium
2018,9,Monday,21,Sindh,Sukkur,National Highway,Average,Clear,Street Light,Motorcycle,2,Over Speeding,0,0,0,0,3,0,High
2019,6,Tuesday,5,Sindh,Jacobabad,National Highway,Good,Clear,Street Light,Rickshaw,2,Over Speeding,0,0,1,0,2,2,High
2021,5,Wednesday,11,Punjab,Rawalpindi,Rural Road,Good,Rainy,Daylight,Motorcycle,1,Pedestrian Error,0,0,0,0,1,0,Medium
2021,10,Wednesday,5,Punjab,Sheikhupura,Rural Road,Good,Foggy,Dawn/Dusk,Bus/Coach,3,Mechanical Failure,0,0,1,0,5,0,Medium
2023,7,Sunday,3,Punjab,Rahim Yar Khan,National Highway,Poor,Clear,No Light,Van/Pickup,2,Over Speeding,0,1,1,0,4,0,Medium
2019,4,Monday,17,Sindh,Thatta,Rural Road,Poor,Rainy,Daylight,Motorcycle,2,Signal Violation,1,0,0,0,3,0,Medium
2021,2,Saturday,13,Punjab,Sargodha,Rural Road,Good,Clear,Daylight,Car/Taxi,2,Over Speeding,1,1,0,1,4,2,Medium
2019,4,Saturday,19,Sindh,Hyderabad,National Highway,Good,Clear,Dawn/Dusk,Motorcycle,2,Over Speeding,1,1,0,0,8,0,High
2019,9,Thursday,9,Balochistan,Dera Bugti,National Highway,Poor,Foggy,Daylight,Truck/Lorry,4,Road Condition,1,0,0,0,5,2,High
2018,5,Monday,4,Punjab,Rawalpindi,Rural Road,Poor,Dusty/Smoggy,Street Light,Car/Taxi,2,Pedestrian Error,0,0,1,0,2,0,Low
2023,10,Thursday,21,Punjab,Bahawalpur,Urban Road,Average,Extreme Heat,Street Light,Motorcycle,1,Road Condition,0,0,0,0,4,1,Medium
2019,4,Friday,17,KPK,Abbottabad,Motorway,Good,Clear,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,2,1,High
2020,6,Tuesday,22,Punjab,Bahawalpur,Urban Road,Under Repair,Extreme Heat,No Light,Bicycle,3,Signal Violation,0,0,1,0,2,1,High
2022,2,Sunday,14,Punjab,Multan,Provincial Highway,Poor,Clear,Dawn/Dusk,Car/Taxi,3,Wrong Overtaking,0,1,0,1,2,0,Low
2022,6,Tuesday,7,Punjab,Gujranwala,National Highway,Good,Clear,Street Light,Bus/Coach,2,Driver Fatigue,1,0,0,0,1,0,Medium
2019,11,Sunday,8,Punjab,Sheikhupura,Urban Road,Average,Clear,No Light,Car/Taxi,1,Over Speeding,1,1,0,1,0,0,Low
2021,8,Saturday,13,Islamabad,Islamabad,National Highway,Under Repair,Rainy,Daylight,Car/Taxi,2,Over Speeding,1,1,0,0,6,1,High
2023,7,Friday,18,KPK,Dera Ismail Khan,Provincial Highway,Poor,Clear,Dawn/Dusk,Motorcycle,1,Driver Fatigue,1,0,0,0,1,1,Medium
2022,11,Thursday,23,Sindh,Hyderabad,Provincial Highway,Average,Clear,Street Light,Car/Taxi,2,Over Speeding,0,0,1,1,3,2,Medium
2023,10,Saturday,13,Balochistan,Khuzdar,Urban Road,Average,Clear,Daylight,Motorcycle,3,Over Speeding,1,1,0,0,4,1,Medium
2018,12,Wednesday,7,KPK,Peshawar,National Highway,Good,Clear,Daylight,Motorcycle,1,Over Speeding,1,0,0,1,8,1,High
2023,12,Saturday,8,Punjab,Bahawalpur,National Highway,Good,Rainy,Daylight,Motorcycle,1,Mechanical Failure,1,1,0,1,9,1,High
2019,7,Wednesday,12,Balochistan,Sibi,National Highway,Poor,Clear,No Light,Car/Taxi,1,Over Speeding,1,0,0,0,5,2,Medium
2021,11,Monday,20,Sindh,Kashmore,Provincial Highway,Good,Clear,No Light,Motorcycle,4,Pedestrian Error,1,0,0,1,1,0,Low
2021,9,Friday,7,KPK,Bannu,Rural Road,Poor,Clear,Daylight,Van/Pickup,2,Over Speeding,1,0,0,0,0,0,Low
2018,11,Sunday,17,Balochistan,Khuzdar,Provincial Highway,Good,Clear,Daylight,Motorcycle,2,Mechanical Failure,1,1,0,1,5,1,Medium
2022,11,Saturday,5,Punjab,Gujranwala,Rural Road,Poor,Rainy,Dawn/Dusk,Car/Taxi,2,Mechanical Failure,0,1,1,1,1,0,Low
2020,9,Wednesday,12,Punjab,Sheikhupura,Urban Road,Under Repair,Clear,Daylight,Car/Taxi,2,Mechanical Failure,1,0,0,0,2,0,Low
2020,1,Sunday,12,Punjab,Gujranwala,Urban Road,Average,Clear,Dawn/Dusk,Truck/Lorry,4,Over Speeding,1,1,0,1,1,0,Medium
2019,12,Sunday,18,Sindh,Karachi,Urban Road,Good,Clear,Street Light,Motorcycle,3,Driver Fatigue,1,1,0,1,3,1,Medium
2020,6,Wednesday,13,KPK,Peshawar,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Road Condition,1,0,0,0,2,0,Low
2020,2,Saturday,18,Balochistan,Gwadar,National Highway,Poor,Clear,Daylight,Car/Taxi,2,Road Condition,1,1,0,1,4,1,Medium
2022,8,Thursday,20,Punjab,Sargodha,National Highway,Good,Rainy,Street Light,Truck/Lorry,2,Over Speeding,1,0,0,0,10,1,High
2018,8,Monday,14,Sindh,Jacobabad,Provincial Highway,Poor,Rainy,Daylight,Rickshaw,2,Pedestrian Error,0,0,0,0,2,0,Low
2019,12,Monday,12,Punjab,Sargodha,Provincial Highway,Poor,Dusty/Smoggy,Daylight,Truck/Lorry,2,Over Speeding,1,0,0,1,4,1,Medium
2019,12,Wednesday,22,Punjab,Sialkot,Urban Road,Good,Clear,No Light,Truck/Lorry,3,Wrong Overtaking,0,0,1,1,1,1,Medium
2020,8,Thursday,7,Punjab,Lahore,Provincial Highway,Average,Clear,Dawn/Dusk,Motorcycle,2,Pedestrian Error,1,0,0,0,0,0,Low
2021,5,Friday,17,Punjab,Rawalpindi,National Highway,Average,Clear,Daylight,Truck/Lorry,2,Over Speeding,1,0,0,0,6,1,High
2022,6,Saturday,7,Islamabad,Islamabad,Provincial Highway,Good,Clear,Daylight,Motorcycle,3,Road Condition,1,1,0,0,2,0,Low
2020,12,Monday,11,Punjab,Gujranwala,Rural Road,Average,Extreme Heat,Dawn/Dusk,Car/Taxi,3,Wrong Overtaking,0,0,0,1,2,0,Low
2021,3,Wednesday,9,Sindh,Larkana,Urban Road,Good,Foggy,Daylight,Truck/Lorry,1,Pedestrian Error,1,0,0,0,1,0,Low
2023,8,Friday,8,KPK,Swat,Provincial Highway,Poor,Clear,Street Light,Motorcycle,2,Over Speeding,1,0,0,0,1,0,Medium
2023,5,Friday,7,Punjab,Sheikhupura,National Highway,Good,Foggy,Daylight,Motorcycle,3,Signal Violation,1,0,0,0,10,1,High
2023,1,Sunday,14,AJK,Rawalakot,Urban Road,Good,Clear,Daylight,Motorcycle,2,Mechanical Failure,0,1,0,1,1,1,Low
2018,11,Thursday,6,Islamabad,Islamabad,Rural Road,Poor,Clear,Daylight,Bus/Coach,3,Signal Violation,0,0,0,1,0,0,Low
2019,5,Monday,18,Punjab,Sheikhupura,Urban Road,Poor,Clear,Street Light,Car/Taxi,2,Mobile Phone Use,1,0,0,0,1,0,Low
2023,1,Friday,16,Sindh,Jacobabad,Rural Road,Good,Rainy,Daylight,Motorcycle,2,Wrong Overtaking,0,0,0,1,10,0,High
2019,7,Friday,11,Punjab,Rahim Yar Khan,Urban Road,Average,Clear,Daylight,Rickshaw,3,Pedestrian Error,0,0,0,0,1,0,Low
2020,8,Thursday,23,Punjab,Rawalpindi,National Highway,Under Repair,Clear,No Light,Bus/Coach,2,Wrong Overtaking,0,0,1,0,4,0,Medium
2019,12,Sunday,12,Punjab,Rahim Yar Khan,Urban Road,Average,Clear,Daylight,Car/Taxi,2,Wrong Overtaking,1,1,0,1,0,0,Low
2023,2,Sunday,16,Sindh,Larkana,Urban Road,Good,Clear,Daylight,Motorcycle,3,Over Speeding,0,1,0,1,8,1,High
2023,1,Thursday,11,Sindh,Dadu,Provincial Highway,Under Repair,Foggy,Daylight,Bus/Coach,2,Over Speeding,0,0,0,1,4,0,High
2018,11,Friday,21,Punjab,Lahore,Motorway,Good,Clear,Street Light,Car/Taxi,1,Road Condition,0,0,0,1,1,0,Low
2023,7,Sunday,12,Punjab,Rawalpindi,Provincial Highway,Average,Clear,Daylight,Car/Taxi,2,Over Speeding,1,1,0,0,1,0,Medium
2022,1,Saturday,5,Balochistan,Gwadar,National Highway,Good,Rainy,No Light,Car/Taxi,2,Wrong Overtaking,0,1,1,1,7,2,High
2023,1,Saturday,7,Punjab,Multan,National Highway,Good,Foggy,Daylight,Motorcycle,2,Over Speeding,1,1,0,1,4,1,High
2021,1,Tuesday,14,Punjab,Sargodha,Provincial Highway,Average,Dusty/Smoggy,Daylight,Car/Taxi,3,Road Condition,0,0,0,1,1,0,Low
2021,4,Saturday,19,Sindh,Larkana,Rural Road,Good,Clear,Dawn/Dusk,Rickshaw,1,Mechanical Failure,1,1,0,0,0,0,Low
2023,12,Tuesday,12,AJK,Mirpur,National Highway,Good,Foggy,Street Light,Motorcycle,3,Over Speeding,1,0,0,1,10,3,High
2022,11,Thursday,19,Punjab,Bahawalpur,Rural Road,Poor,Clear,Dawn/Dusk,Motorcycle,1,Wrong Overtaking,1,0,0,1,2,0,Medium
2020,3,Monday,19,KPK,Peshawar,National Highway,Average,Foggy,Dawn/Dusk,Car/Taxi,3,Mechanical Failure,1,0,0,0,4,0,Medium
2023,12,Saturday,12,KPK,Abbottabad,Urban Road,Average,Clear,Daylight,Motorcycle,1,Signal Violation,1,1,0,1,3,0,Medium
2019,7,Thursday,18,Punjab,Rahim Yar Khan,Provincial Highway,Average,Foggy,Daylight,Rickshaw,3,Pedestrian Error,1,0,0,0,2,0,Low
2019,12,Saturday,6,KPK,Dera Ismail Khan,National Highway,Good,Clear,Daylight,Car/Taxi,3,Driver Fatigue,0,1,0,1,5,0,Medium
2020,10,Friday,18,Punjab,Sialkot,Provincial Highway,Good,Clear,Daylight,Motorcycle,2,Over Speeding,1,0,0,0,1,0,Medium
2021,12,Saturday,23,Sindh,Sukkur,Provincial Highway,Under Repair,Clear,No Light,Bus/Coach,2,Driver Fatigue,0,1,1,1,7,1,High
2021,8,Sunday,22,Sindh,Thatta,Provincial Highway,Average,Rainy,Street Light,Motorcycle,1,Road Condition,0,1,1,0,7,2,High
2023,8,Friday,16,Sindh,Jacobabad,National Highway,Good,Clear,Daylight,Van/Pickup,1,Over Speeding,0,0,0,0,3,0,Medium
2019,9,Saturday,9,Punjab,Gujranwala,National Highway,Poor,Rainy,Daylight,Motorcycle,3,Mobile Phone Use,1,1,0,0,7,2,High
2022,7,Friday,20,KPK,Mardan,National Highway,Under Repair,Foggy,No Light,Motorcycle,2,Signal Violation,1,0,0,0,11,2,High
2018,6,Sunday,17,Punjab,Gujranwala,Urban Road,Average,Extreme Heat,Daylight,Car/Taxi,2,Pedestrian Error,1,1,0,0,0,0,Low
2019,1,Saturday,9,Punjab,Sheikhupura,National Highway,Poor,Rainy,Daylight,Car/Taxi,2,Over Speeding,1,1,0,1,4,3,High
2019,5,Saturday,18,Punjab,Gujranwala,Rural Road,Good,Clear,No Light,Other,3,Pedestrian Error,1,1,0,0,0,0,Low
2021,11,Thursday,14,Sindh,Sukkur,Rural Road,Average,Clear,Daylight,Motorcycle,2,Over Speeding,0,0,0,1,2,0,Medium
2021,2,Monday,12,KPK,Nowshera,National Highway,Under Repair,Clear,Daylight,Bus/Coach,2,Drunk Driving,1,0,0,1,3,0,Medium
2020,7,Saturday,7,Punjab,Rawalpindi,Motorway,Good,Clear,Daylight,Motorcycle,2,Wrong Overtaking,1,1,0,0,4,1,High
2019,1,Saturday,17,Sindh,Thatta,National Highway,Good,Clear,Dawn/Dusk,Van/Pickup,1,Over Speeding,1,1,0,1,3,2,High
2021,6,Wednesday,19,Punjab,Gujranwala,National Highway,Average,Clear,No Light,Car/Taxi,2,Over Speeding,1,0,0,0,2,2,High
2022,2,Thursday,10,Sindh,Mirpur Khas,Provincial Highway,Poor,Rainy,Daylight,Motorcycle,1,Over Speeding,0,0,0,1,10,2,High
2020,1,Wednesday,19,Punjab,Sialkot,National Highway,Average,Rainy,Dawn/Dusk,Motorcycle,2,Over Speeding,1,0,0,1,8,2,High
2023,11,Friday,18,KPK,Dera Ismail Khan,Rural Road,Average,Clear,Daylight,Motorcycle,3,Over Speeding,1,0,0,1,5,0,Medium
2023,8,Wednesday,14,Punjab,Sialkot,National Highway,Poor,Clear,Daylight,Motorcycle,2,Pedestrian Error,0,0,0,0,3,1,Medium
2021,5,Friday,20,Islamabad,Islamabad,Provincial Highway,Poor,Clear,No Light,Car/Taxi,2,Over Speeding,1,0,0,0,1,0,Low
2018,1,Wednesday,17,Punjab,Rawalpindi,National Highway,Average,Foggy,Daylight,Car/Taxi,2,Pedestrian Error,1,0,0,1,1,0,Low
2023,6,Monday,10,Punjab,Sargodha,Rural Road,Good,Clear,Street Light,Motorcycle,2,Over Speeding,0,0,0,0,2,0,Medium
